,Author,Rubric,Min_Sentence_len,Mean_Sentence_len,Max_Sentence_len,Median_Sentence_len,Min_Clause_len,Mean_Clause_len,Max_Clause_len,Median_Clause_len,Min_Clause_count,Mean_Clause_count,Max_Clause_count,Median_Clause_count,Min_NP_len,Mean_NP_len,Max_NP_len,Median_NP_len,Compound_sent_ratio,Complex_sent_ratio,Min_MDD,Mean_MDD,Max_MDD,Median_MDD,Lexical_items,Lexical_items_rs,Unique_lexical_items,Unique_lexical_items_rs,TTR,RTTR,CTTR,MTTR,TTR_rs,RTTR_rs,CTTR_rs,MTTR_rs,MTLD_lemma,MTLD_wordform,MTLD_lemma_rs,MTLD_wordform_rs,HDD,HDD_rs,Density_func,Density_fun_rs,Density_total,Density_total_rs,Sophistication_lemmas,Sophistication_lemmas_rs,Sophistication_wordform,Sophistication_wordform_rs,Giraud_lemma,Giraud_lemma_rs,Giraud_wordform,Giraud_wordform_rs,Min_Tree_depth,Mean_Tree_depth,Max_Tree_depth,Median_Tree_depth,Min_Tree_width,Mean_Tree_width,Max_Tree_width,Median_Tree_width,ISC
0,Автор 918,Общество,1.0,8.895652173913044,36.0,7.0,1.0,4.378378378378378,12.0,4.0,1.0,1.930434782608696,8.0,2.0,1.0,2.165,6.0,2.0,0.1478260869565217,0.1478260869565217,0.0666666666666666,0.5896177684323142,1.0,0.6296296296296297,583.0,549.0,462.0,444.0,0.3742268041237113,11.65522757808303,8.241490456734972,1.3864801714386514,0.5886287625418061,14.39435043392774,10.178342802605828,1.132639148786591,0.4669811320754716,0.5943396226415094,0.4808743169398907,0.6065573770491803,0.919962284952776,0.909123373263619,2.554878048780488,2.409937888198758,0.7186963979416809,0.7067395264116576,0.4476843910806174,0.4663023679417122,0.6535162950257289,0.6757741347905283,23.027167190439783,20.229827029397565,23.027167190439783,20.229827029397565,1.0,2.739130434782609,7.0,2.0,1.0,4.408695652173913,9.0,4.0,12.075992438563327
1,Автор 918,Общество,0.0,9.658823529411764,30.0,8.0,1.0,4.335164835164835,15.0,4.0,1.0,2.179640718562874,9.0,2.0,1.0,2.099236641221374,6.0,2.0,0.2588235294117647,0.1588235294117647,0.0333333333333333,0.6386552437587754,1.0,0.6666666666666666,1033.0,978.0,791.0,768.0,0.4006369426751592,15.874527928183412,11.224986346153726,1.5098858094905532,0.5785512699905927,18.86290091805114,13.338085152003911,1.307644875134676,0.4566795740561472,0.574298160696999,0.4716257668711656,0.588957055214724,0.9199050740547188,0.9280994612179168,2.988416988416988,2.865612648221344,0.7492739593417231,0.7413087934560327,0.4549854791868344,0.4785276073619632,0.6311713455953534,0.6584867075664622,28.624483999204536,26.476520446790683,28.624483999204536,26.476520446790683,0.0,3.135802469135802,8.0,3.0,0.0,4.364197530864198,11.0,4.0,13.685261393080324
2,Автор 918,Общество,2.0,7.506944444444445,31.0,7.0,1.0,3.996062992125984,12.0,4.0,1.0,1.7638888888888888,8.0,1.0,1.0,1.932,6.0,2.0,0.2083333333333333,0.1111111111111111,0.0833333333333333,0.6043949868741335,1.0,0.6,642.0,582.0,493.0,462.0,0.3742574257425742,11.894087057470744,8.410389614360712,1.3845564513715805,0.5776,14.44,10.210621920333748,1.1423054892873,0.4415887850467289,0.5759345794392523,0.4652061855670103,0.595360824742268,0.930183486306964,0.9152926090692458,2.1782178217821784,2.145945945945946,0.6853582554517134,0.6821305841924399,0.3940809968847352,0.4312714776632302,0.6152647975077882,0.6529209621993127,23.36437632373021,20.3526048047116,23.36437632373021,20.3526048047116,1.0,2.7058823529411766,11.0,2.0,2.0,4.25,9.0,4.0,11.5
3,Автор 918,Общество,1.0,11.01023890784983,34.0,10.0,1.0,4.958730158730159,19.0,4.0,1.0,2.150170648464164,7.0,2.0,1.0,2.349557522123894,10.0,2.0,0.1501706484641638,0.1535836177474402,0.0434782608695652,0.5802731941514383,1.0,0.6153846153846154,2088.0,1932.0,1331.0,1289.0,0.2958656330749354,16.462470042391598,11.64072420205549,1.7139938357077371,0.4266666666666667,19.55232296514492,13.825580156603436,1.5193910550187513,0.3290229885057471,0.4780890804597701,0.3478260869565217,0.500388198757764,0.903484188109162,0.8986808012455615,3.6921348314606734,3.6666666666666665,0.7868773946360154,0.7857142857142857,0.2811302681992337,0.3027950310559006,0.4765325670498084,0.5113871635610766,32.91414583683712,31.532591834895,32.91414583683712,31.532591834895,1.0,3.355704697986577,8.0,3.0,1.0,4.657718120805369,9.0,5.0,15.62992657988379
4,Автор 918,Общество,1.0,8.948087431693988,49.0,7.0,1.0,4.325997248968363,18.0,4.0,1.0,1.991780821917808,9.0,2.0,1.0,2.278877887788779,8.0,2.0,0.1366120218579235,0.1174863387978142,0.0384615384615384,0.557060830167591,1.0,0.5833333333333334,1763.0,1578.0,1240.0,1191.0,0.2774751682153156,15.501403022773884,10.961147195309058,1.7576826986022795,0.4810996563573883,20.102828441296666,14.214846311870666,1.4658783658698995,0.3684061259217243,0.5275099262620533,0.3992395437262357,0.56606463878327,0.9204250929297676,0.923238884552197,2.612704918032787,2.514476614699332,0.7231990924560409,0.7154626108998733,0.3210436755530346,0.3536121673003802,0.5450935904707884,0.6020278833967047,33.938192461354795,32.549552747010495,33.938192461354795,32.549552747010495,1.0,2.834733893557423,10.0,3.0,1.0,4.445378151260504,10.0,4.0,12.601464115057787
5,Автор 918,Общество,1.0,8.299212598425196,24.0,7.0,1.0,4.098765432098766,16.0,4.0,1.0,1.9285714285714288,6.0,2.0,1.0,2.178423236514522,6.0,2.0,0.2362204724409448,0.0944881889763779,0.0769230769230769,0.5804643595907986,1.0,0.625,639.0,601.0,518.0,495.0,0.4111675126903553,12.904373004512614,9.124769658451491,1.3719046902678906,0.6099071207430341,15.501722664683284,10.961373216270747,1.1525635717009286,0.4753521126760563,0.607981220657277,0.4916805324459234,0.617720465890183,0.9058068286858008,0.9106169558315924,3.176470588235294,3.202797202797203,0.7605633802816901,0.762063227953411,0.4694835680751174,0.4941763727121464,0.6979655712050078,0.718801996672213,24.170786438548145,21.37440583093771,24.170786438548145,21.37440583093771,1.0,2.860655737704918,9.0,2.5,2.0,4.344262295081967,10.0,4.0,12.427438860521365
6,Автор 918,Общество,2.0,10.39622641509434,29.0,10.0,1.0,4.487288135593221,13.0,4.0,1.0,2.2264150943396226,7.0,2.0,1.0,2.1879432624113475,6.0,2.0,0.2075471698113207,0.1037735849056603,0.1,0.6018207534158816,1.0,0.625,700.0,649.0,581.0,554.0,0.4426386233269598,14.315784386486913,10.122788217689394,1.382234779392354,0.6564327485380117,17.16794408464704,12.139569681285398,1.164841493707746,0.4960714285714286,0.6224999999999999,0.5188751926040062,0.6402157164869029,0.9115042263825384,0.91766858899736,3.320987654320988,3.107594936708861,0.7685714285714286,0.7565485362095532,0.4871428571428571,0.5208012326656395,0.7128571428571429,0.7457627118644068,25.285823244317303,22.845498354584816,25.285823244317303,22.845498354584816,1.0,3.2452830188679247,7.0,3.0,2.0,4.547169811320755,8.0,4.5,14.75685297258811
7,Автор 918,Общество,1.0,8.882075471698114,28.0,8.0,1.0,4.200934579439252,15.0,4.0,1.0,2.038095238095238,7.0,2.0,1.0,2.0412147505422995,7.0,2.0,0.2028301886792453,0.1556603773584905,0.0833333333333333,0.5525690151637405,1.0,0.5916666666666667,1207.0,1109.0,906.0,871.0,0.3916434540389972,16.59293066909565,11.732973795875772,1.5457087273083798,0.5704753961634695,19.753611593220445,13.967912710491378,1.3434757299952884,0.4368268434134217,0.5629660314830157,0.4625788999098287,0.589044183949504,0.946846655749079,0.9567106670731196,2.9966887417218544,2.8912280701754387,0.7497928748964374,0.7430117222723174,0.4092792046396023,0.4427412082957619,0.6139188069594035,0.6582506762849414,30.05016518267768,28.166771154941777,30.05016518267768,28.166771154941777,1.0,3.05,11.0,3.0,1.0,4.4,8.0,4.0,13.42
8,Автор 918,Общество,2.0,12.05952380952381,39.0,11.0,1.0,5.045918367346939,15.0,5.0,1.0,2.333333333333333,7.0,2.0,1.0,2.076923076923077,6.0,2.0,0.2857142857142857,0.1904761904761904,0.1,0.6862464012496724,1.0,0.7333333333333333,644.0,592.0,481.0,454.0,0.383756345177665,12.04408147087844,8.516451681221392,1.3699482128110774,0.5877616747181964,14.646945458768586,10.356954457564775,1.1342648275298086,0.4402173913043479,0.5601708074534162,0.4624155405405405,0.5751689189189189,0.9067283789902804,0.8902858764270355,2.462365591397849,2.3446327683615817,0.7111801242236024,0.7010135135135135,0.422360248447205,0.4493243243243243,0.6149068322981367,0.643581081081081,22.2641189762546,19.6456789829902,22.2641189762546,19.6456789829902,1.0,3.488095238095238,7.0,3.0,1.0,4.666666666666667,8.0,5.0,16.27777777777778
9,Автор 918,Общество,0.0,8.32967032967033,28.0,7.0,1.0,4.092957746478874,15.0,4.0,1.0,1.9613259668508287,6.0,2.0,1.0,2.078167115902965,5.0,2.0,0.2307692307692307,0.1263736263736263,0.0769230769230769,0.6408588741716105,1.0,0.6666666666666666,947.0,849.0,689.0,655.0,0.3645833333333333,13.83496476323666,9.78279740156158,1.4836008310550692,0.5618101545253863,16.91039232701068,11.957453086954212,1.2539087470026542,0.4157866948257656,0.5456705385427666,0.4496466431095406,0.5786219081272085,0.920690671556166,0.9159003080928658,2.834008097165992,2.7074235807860263,0.7391763463569165,0.7302709069493521,0.3875395987328405,0.4299175500588928,0.5881731784582893,0.6395759717314488,26.32146329097695,23.98961789575758,26.32146329097695,23.98961789575758,1.0,2.8735632183908044,7.0,3.0,1.0,4.183908045977011,7.0,4.0,12.022724270048885
10,Автор 918,Общество,1.0,8.85131195335277,31.0,8.0,1.0,4.120567375886525,17.0,4.0,1.0,2.067448680351906,8.0,2.0,1.0,2.1833590138674883,7.0,2.0,0.2157434402332361,0.1457725947521866,0.0555555555555555,0.6064556123014756,1.0,0.6190476190476191,1809.0,1647.0,1236.0,1192.0,0.3157894736842105,16.97056274847714,12.0,1.7095384742749709,0.500561167227834,21.130559887689387,14.941562186853618,1.4668562474934168,0.3781094527363184,0.5124378109452736,0.4061930783242258,0.5428051001821493,0.9034187132073704,0.9019654679080488,2.277173913043478,2.2294117647058824,0.6948590381426202,0.6903460837887068,0.3383084577114428,0.3691560412871888,0.5306799336650083,0.5749848208864602,32.82208265795344,31.416904015569344,32.82208265795344,31.416904015569344,1.0,3.0351437699680512,10.0,3.0,1.0,4.376996805111821,9.0,4.0,13.284814584205208
11,Автор 918,Общество,0.0,8.16796875,33.0,8.0,1.0,4.407894736842105,21.0,4.0,1.0,1.884297520661157,7.0,2.0,1.0,2.0690265486725665,9.0,2.0,0.14453125,0.12109375,0.0625,0.6273143902283086,1.0,0.6666666666666666,1318.0,1229.0,951.0,921.0,0.3502713369511593,15.769992049310714,11.151068317325546,1.5911775545124516,0.5133136094674556,18.874311774748616,13.346153846153848,1.3849311164051596,0.4040212443095599,0.5411608497723823,0.4235150528885272,0.5620423108218063,0.9265987281795338,0.9261993194820376,2.671309192200557,2.552023121387283,0.7276176024279211,0.7184703010577705,0.3596358118361153,0.3848657445077298,0.5728376327769348,0.6086248982912937,30.07910662800169,28.23964631656391,30.07910662800169,28.23964631656391,1.0,3.04,7.0,3.0,1.0,4.12,9.0,4.0,12.5248
12,Автор 918,Общество,0.0,9.733812949640289,27.0,9.0,1.0,4.37,13.0,4.0,1.0,2.1739130434782608,7.0,2.0,1.0,2.171428571428572,8.0,2.0,0.2949640287769784,0.0719424460431654,0.0666666666666666,0.6143972801138847,1.0,0.6666666666666666,851.0,786.0,647.0,617.0,0.3964723926380368,14.316990849821236,10.12364131609435,1.4552748555411923,0.5952380952380952,17.251638983558856,12.198750911856663,1.2311016332876417,0.4556404230317273,0.5702115158636898,0.4770992366412214,0.5887404580152672,0.929638102511414,0.9238573847230712,2.431451612903226,2.302521008403361,0.7085781433607521,0.6972010178117048,0.4347826086956521,0.4643765903307888,0.6122209165687427,0.6450381679389313,25.77822799918389,23.47008273771128,25.77822799918389,23.47008273771128,1.0,3.156716417910448,7.0,3.0,2.0,4.402985074626866,8.0,4.0,13.898975272889286
13,Автор 918,Общество,0.0,9.996197718631178,35.0,8.0,1.0,4.559928443649373,15.0,4.0,1.0,2.133587786259542,8.0,2.0,1.0,2.1576433121019107,6.0,2.0,0.1787072243346007,0.1330798479087452,0.0476190476190476,0.5823866279172409,1.0,0.6055555555555556,1678.0,1551.0,1154.0,1109.0,0.3386013433425524,17.034710189626573,12.045359090632529,1.65524924739505,0.4961286480047647,20.32917026806478,14.37489415244455,1.448385095260514,0.3830452920143027,0.515792610250298,0.4028046421663442,0.536266924564797,0.9229037872712508,0.9235438328397196,3.195,3.070866141732284,0.7616209773539928,0.7543520309477756,0.3516090584028605,0.3765312701482914,0.5369487485101311,0.5705996131528046,32.00418067148291,30.038541758440363,32.00418067148291,30.038541758440363,1.0,3.258964143426295,9.0,3.0,1.0,4.54183266932271,9.0,4.0,14.801669814764848
