,Author,Rubric,Min_Sentence_len,Mean_Sentence_len,Max_Sentence_len,Median_Sentence_len,Min_Clause_len,Mean_Clause_len,Max_Clause_len,Median_Clause_len,Min_Clause_count,Mean_Clause_count,Max_Clause_count,Median_Clause_count,Min_NP_len,Mean_NP_len,Max_NP_len,Median_NP_len,Compound_sent_ratio,Complex_sent_ratio,Min_MDD,Mean_MDD,Max_MDD,Median_MDD,Lexical_items,Lexical_items_rs,Unique_lexical_items,Unique_lexical_items_rs,TTR,RTTR,CTTR,MTTR,TTR_rs,RTTR_rs,CTTR_rs,MTTR_rs,MTLD_lemma,MTLD_wordform,MTLD_lemma_rs,MTLD_wordform_rs,HDD,HDD_rs,Density_func,Density_fun_rs,Density_total,Density_total_rs,Sophistication_lemmas,Sophistication_lemmas_rs,Sophistication_wordform,Sophistication_wordform_rs,Giraud_lemma,Giraud_lemma_rs,Giraud_wordform,Giraud_wordform_rs,Min_Tree_depth,Mean_Tree_depth,Max_Tree_depth,Median_Tree_depth,Min_Tree_width,Mean_Tree_width,Max_Tree_width,Median_Tree_width,ISC
0,Автор 1409,Архивные записи,1.0,12.68235294117647,35.0,12.0,1.0,4.8,10.0,5.0,1.0,1.4680851063829787,4.0,1.0,1.0,2.1785714285714284,10.0,2.0,0.3295454545454545,0.1363636363636363,0.0714285714285714,0.6594446446929759,1.0,0.75,645.0,583.0,521.0,487.0,0.3811357074109721,12.285346561442411,8.687051862822765,1.3989889298393618,0.5835913312693498,14.832866610623345,10.488420564807289,1.160441235533105,0.4604651162790698,0.6058139534883721,0.4849914236706689,0.6265008576329332,0.9001864255917421,0.8967097610307566,3.0822784810126582,2.939189189189189,0.7550387596899225,0.7461406518010292,0.4527131782945736,0.4888507718696398,0.689922480620155,0.7289879931389366,24.92435065982569,22.116020287220945,24.92435065982569,22.116020287220945,1.0,3.719512195121952,11.0,3.0,1.0,4.7926829268292686,9.0,5.0,17.82644259369423
1,Автор 1409,Архивные записи,2.0,16.13888888888889,63.0,14.0,1.0,4.799212598425197,13.0,5.0,1.0,1.725146198830409,6.0,1.0,1.0,2.3228511530398324,8.0,2.0,0.6711409395973155,0.1073825503355704,0.1111111111111111,0.7222672187518966,1.0,0.8100961538461539,1425.0,1274.0,1088.0,1052.0,0.3902329749103942,18.43618510286099,13.03635150544341,1.6252451306423663,0.5945378151260504,22.466922464859685,15.886513227294666,1.4064750262464747,0.4584210526315789,0.5726315789473684,0.4998037676609105,0.619309262166405,0.9405807811432434,0.9422192340304536,3.228486646884273,3.083333333333333,0.7635087719298246,0.7551020408163265,0.4554385964912281,0.5062794348508635,0.6442105263157895,0.7142857142857143,33.77557510515862,32.55527843293854,33.77557510515862,32.55527843293854,1.0,3.971631205673759,11.0,4.0,2.0,5.354609929078015,9.0,5.0,21.2665358885368
2,Автор 1409,Архивные записи,1.0,9.657718120805368,34.0,8.0,1.0,4.38562091503268,8.0,4.0,1.0,1.2865853658536586,6.0,1.0,1.0,2.5017921146953404,10.0,2.0,0.3355263157894737,0.1184210526315789,0.1111111111111111,0.6894668731949227,1.0,0.75,896.0,828.0,721.0,694.0,0.3997144896502498,14.961287184067414,10.579227623133455,1.4820597535240168,0.594535519125683,17.984085253478188,12.716668636171416,1.265757406566829,0.46875,0.603515625,0.4927536231884058,0.6286231884057971,0.9243625840486822,0.921372193671854,4.033707865168539,3.928571428571429,0.8013392857142857,0.7971014492753623,0.4542410714285714,0.4903381642512077,0.6852678571428571,0.7306763285024155,28.36309929795604,26.16855896416288,28.36309929795604,26.16855896416288,1.0,3.1301369863013697,8.0,3.0,1.0,4.157534246575342,8.0,4.0,13.013651717020078
3,Автор 1409,Архивные записи,1.0,11.845238095238097,34.0,9.5,1.0,4.621621621621622,13.0,5.0,1.0,1.528735632183908,5.0,1.0,1.0,2.438888888888889,8.0,2.0,0.2352941176470588,0.1294117647058823,0.0344827586206896,0.6527944098044415,1.0,0.7387914230019492,580.0,522.0,468.0,440.0,0.392156862745098,12.207358757861476,8.631906158060838,1.3872087418364172,0.6273830155979203,15.070257185809645,10.656281050311293,1.1256787431352482,0.4913793103448275,0.6051724137931034,0.5201149425287356,0.632183908045977,0.9254584447913,0.91449104899075,3.496124031007752,3.2096774193548385,0.7775862068965518,0.7624521072796935,0.4913793103448275,0.5344827586206896,0.696551724137931,0.7471264367816092,23.83405271802337,21.05279806850885,23.83405271802337,21.05279806850885,0.0,3.973684210526316,9.0,3.5,0.0,4.605263157894737,10.0,5.0,18.29986149584488
4,Автор 1409,Архивные записи,2.0,9.741379310344827,70.0,7.0,1.0,4.311258278145695,14.0,4.0,1.0,1.416,7.0,1.0,1.0,1.950191570881226,7.0,2.0,0.5384615384615384,0.0683760683760683,0.125,0.6823767963286044,1.0,0.7207792207792207,743.0,695.0,607.0,582.0,0.4799635701275045,15.904112721469088,11.24590595410603,1.394140431423187,0.6844919786096256,18.720574057654545,13.23744486387249,1.19747012869993,0.5319650067294751,0.6127187079407806,0.5525179856115108,0.6280575539568345,0.9479435719434688,0.954799498912274,2.2876106194690267,2.159090909090909,0.6958277254374159,0.6834532374100719,0.5746971736204576,0.6086330935251798,0.7160161507402423,0.7467625899280576,26.230805967332145,23.859329954952223,26.230805967332145,23.859329954952223,1.0,2.90990990990991,8.0,3.0,2.0,4.144144144144144,9.0,4.0,12.059086113140168
5,Автор 1409,Архивные записи,1.0,15.048076923076923,51.0,13.0,1.0,4.121212121212121,11.0,4.0,1.0,1.899159663865546,7.0,1.0,1.0,2.306338028169014,8.0,2.0,0.4579439252336448,0.1495327102803738,0.125,0.7199043139641683,1.0,0.7928571428571429,913.0,828.0,723.0,690.0,0.3928806855636124,15.302185745700283,10.8202793077608,1.5210932119196123,0.6245919477693145,18.93451288044101,13.388722456223864,1.2681939207719792,0.4895947426067908,0.593921139101862,0.519927536231884,0.625,0.9144541370260364,0.915073540295364,2.696356275303644,2.553648068669528,0.7294633077765608,0.7185990338164251,0.4961664841182913,0.5410628019323671,0.6637458926615553,0.7210144927536232,28.29637002174392,25.99479695244865,28.29637002174392,25.99479695244865,1.0,3.85,9.0,4.0,1.0,5.15,10.0,5.0,19.8275
6,Автор 1409,Архивные записи,1.0,13.917431192660551,55.0,13.0,1.0,4.578313253012048,15.0,5.0,1.0,1.6470588235294117,5.0,1.0,1.0,2.202702702702702,7.0,2.0,0.5045871559633027,0.1651376146788991,0.0384615384615384,0.6471916557873123,1.0,0.7368421052631579,849.0,756.0,660.0,622.0,0.3510565780504431,13.4459710581266,9.507737314839378,1.5204646034805556,0.5771028037383178,16.88457239750918,11.939195639713944,1.2515328256541125,0.4549469964664311,0.5830388692579505,0.4900793650793651,0.6170634920634921,0.895867993256539,0.8995023488363207,2.9859154929577465,3.064516129032258,0.7491166077738516,0.753968253968254,0.447585394581861,0.4907407407407407,0.6431095406360424,0.705026455026455,27.42160901103048,24.87683948690313,27.42160901103048,24.87683948690313,1.0,3.5904761904761906,9.0,3.0,1.0,5.047619047619048,12.0,5.0,18.123356009070296
7,Автор 1409,Архивные записи,1.0,14.21186440677966,67.0,12.0,1.0,4.916666666666667,18.0,5.0,1.0,1.6590909090909092,6.0,1.0,1.0,2.4259818731117826,9.0,2.0,0.375,0.1083333333333333,0.0666666666666666,0.6342750576352318,1.0,0.6794871794871795,971.0,905.0,787.0,753.0,0.4001229256299938,16.13939356311525,11.41227463271731,1.5444446036380284,0.6332665330661322,20.00561043552022,14.14610280073271,1.2918612702324284,0.502832131822863,0.6078784757981462,0.5237569060773481,0.6240331491712707,0.9477995270191504,0.9429561664362158,3.623809523809524,3.5477386934673367,0.7837281153450052,0.7801104972375691,0.509783728115345,0.5392265193370166,0.6807415036045315,0.7104972375690608,29.90930334134469,27.35744568219306,29.90930334134469,27.35744568219306,1.0,3.7452830188679247,11.0,3.0,1.0,5.084905660377358,10.0,5.0,19.04441082235671
8,Автор 1409,Архивные записи,1.0,12.177777777777775,40.0,11.0,1.0,4.385,8.0,5.0,1.0,1.6,5.0,1.0,1.0,2.2973760932944605,8.0,2.0,0.3043478260869565,0.1594202898550724,0.0625,0.6870929496491224,1.0,0.7307692307692307,1024.0,944.0,805.0,768.0,0.3977485928705441,15.9049710803153,11.246512905466878,1.522050628753513,0.5779036827195467,18.806303566207863,13.298064780718333,1.3143779124117954,0.4658203125,0.589599609375,0.486228813559322,0.6101694915254238,0.923843361736424,0.935818120310562,3.5309734513274336,3.5825242718446604,0.779296875,0.7817796610169492,0.4462890625,0.4745762711864407,0.6630859375,0.701271186440678,29.90625,27.632596355679865,29.90625,27.632596355679865,1.0,3.793893129770992,9.0,4.0,1.0,4.572519083969466,8.0,5.0,17.347648738418506
9,Автор 1409,Архивные записи,1.0,15.41304347826087,47.0,13.0,1.0,4.52046783625731,12.0,4.0,1.0,1.8725490196078431,10.0,1.0,1.0,2.285185185185185,8.0,2.0,0.6382978723404256,0.1276595744680851,0.1111111111111111,0.711441521454176,1.0,0.80625,826.0,738.0,636.0,599.0,0.3552631578947368,13.139935111591766,9.291337221757752,1.48891213005987,0.5696821515892421,16.29330790970903,11.521108510915663,1.2322637006270818,0.4412832929782082,0.5774818401937046,0.4735772357723577,0.608739837398374,0.8739017038445285,0.864284056309528,3.302083333333333,3.146067415730337,0.7675544794188862,0.7588075880758808,0.4176755447941888,0.4607046070460704,0.639225181598063,0.6924119241192412,26.4437820242904,24.03726217562493,26.4437820242904,24.03726217562493,1.0,3.855555555555556,9.0,4.0,1.0,5.255555555555556,11.0,5.0,20.263086419753087
