,Author,Rubric,Min_Sentence_len,Mean_Sentence_len,Max_Sentence_len,Median_Sentence_len,Min_Clause_len,Mean_Clause_len,Max_Clause_len,Median_Clause_len,Min_Clause_count,Mean_Clause_count,Max_Clause_count,Median_Clause_count,Min_NP_len,Mean_NP_len,Max_NP_len,Median_NP_len,Compound_sent_ratio,Complex_sent_ratio,Min_MDD,Mean_MDD,Max_MDD,Median_MDD,Lexical_items,Lexical_items_rs,Unique_lexical_items,Unique_lexical_items_rs,TTR,RTTR,CTTR,MTTR,TTR_rs,RTTR_rs,CTTR_rs,MTTR_rs,MTLD_lemma,MTLD_wordform,MTLD_lemma_rs,MTLD_wordform_rs,HDD,HDD_rs,Density_func,Density_fun_rs,Density_total,Density_total_rs,Sophistication_lemmas,Sophistication_lemmas_rs,Sophistication_wordform,Sophistication_wordform_rs,Giraud_lemma,Giraud_lemma_rs,Giraud_wordform,Giraud_wordform_rs,Min_Tree_depth,Mean_Tree_depth,Max_Tree_depth,Median_Tree_depth,Min_Tree_width,Mean_Tree_width,Max_Tree_width,Median_Tree_width,ISC
0,Автор 1476,Архивные записи,2.0,11.80952380952381,35.0,11.0,1.0,4.06140350877193,13.0,4.0,1.0,2.7142857142857144,8.0,2.0,1.0,2.1885521885521886,8.0,2.0,0.1547619047619047,0.119047619047619,0.04,0.663200806985204,1.0,0.6939799331103679,627.0,585.0,470.0,450.0,0.4120218579234972,12.463235552502349,8.812838374699677,1.3359325124658386,0.5858747993579454,14.623416213923822,10.34031676897884,1.1391660191828377,0.450956937799043,0.562200956937799,0.4679487179487179,0.576923076923077,0.9077198000919428,0.907378293281119,3.644444444444445,3.717741935483871,0.784688995215311,0.788034188034188,0.4481658692185008,0.4769230769230769,0.6283891547049442,0.6564102564102564,21.96488425534897,19.721522799684145,21.96488425534897,19.721522799684145,1.0,3.8125,8.0,4.0,2.0,4.55,7.0,4.0,17.346875
1,Автор 1476,Архивные записи,1.0,11.552083333333334,34.0,11.0,1.0,4.7681818181818185,19.0,4.0,1.0,2.3157894736842106,5.0,2.0,1.0,2.176271186440678,6.0,2.0,0.0625,0.2916666666666667,0.0714285714285714,0.6710748216966927,1.0,0.7,726.0,678.0,544.0,518.0,0.4265267175572519,13.807876112860065,9.7636428331871,1.3741757159823325,0.5928473177441541,15.98490519045172,11.303034856792454,1.1878421108426591,0.4617768595041321,0.5619834710743802,0.4767699115044248,0.5730088495575221,0.9331746109386896,0.9484279991419772,4.299270072992701,4.424,0.8112947658402204,0.8156342182890856,0.4738292011019284,0.5,0.628099173553719,0.6504424778761062,23.90108173261161,21.39145612809553,23.90108173261161,21.39145612809553,1.0,3.7666666666666666,10.0,3.0,2.0,4.533333333333333,10.0,4.0,17.075555555555553
2,Автор 1476,Архивные записи,0.0,11.323232323232324,49.0,10.0,1.0,4.593886462882096,19.0,4.0,1.0,2.3608247422680413,9.0,2.0,1.0,2.143344709897611,8.0,2.0,0.0808080808080808,0.1414141414141414,0.1428571428571428,0.6807554671157322,1.0,0.75,678.0,625.0,506.0,481.0,0.3646511627906976,11.955887914076206,8.454089419149572,1.4052874018468724,0.5286713286713287,14.136398488927872,9.995943233076162,1.1994193567248037,0.4336283185840708,0.5597345132743363,0.4536,0.5771999999999999,0.9246482789059728,0.9296768291488297,3.643835616438356,3.699248120300752,0.7846607669616519,0.7872,0.4026548672566372,0.4304,0.588495575221239,0.6224,23.92617085781601,21.52,23.92617085781601,21.52,1.0,3.4375,10.0,3.0,1.0,4.354166666666667,8.0,4.0,14.967447916666668
3,Автор 1476,Архивные записи,1.0,12.447058823529412,32.0,10.0,1.0,5.298969072164948,18.0,5.0,1.0,2.3095238095238093,9.0,2.0,1.0,2.250996015936255,8.0,2.0,0.2588235294117647,0.1411764705882353,0.0769230769230769,0.6866483013571648,1.0,0.75,659.0,603.0,559.0,537.0,0.4558823529411764,14.559714767729728,10.295273044403608,1.3834436892381017,0.6781437125748503,17.5270962168982,12.3935285894778,1.170521976529977,0.5292109256449166,0.6361911987860394,0.5634328358208955,0.6679104477611941,0.9492322083138716,0.959025777123338,3.917910447761194,4.289473684210527,0.7966616084977238,0.8109452736318408,0.5781487101669196,0.6301824212271974,0.7663125948406677,0.8275290215588723,25.8268131834132,23.782318501360752,25.8268131834132,23.782318501360752,1.0,3.5,8.0,3.0,2.0,4.817073170731708,10.0,5.0,16.859756097560975
4,Автор 1476,Архивные записи,3.0,13.394736842105264,42.0,12.0,1.0,4.859223300970874,20.0,4.0,1.0,2.710526315789474,9.0,2.0,1.0,2.074349442379182,8.0,2.0,0.1842105263157894,0.2105263157894736,0.05,0.6407281535807906,1.0,0.75,678.0,629.0,523.0,500.0,0.4415322580645161,13.90651390652086,9.833390285965926,1.3609492733718287,0.6213450292397661,16.250281149164792,11.490683996762346,1.1729151094856305,0.4845132743362832,0.5785398230088497,0.5067567567567568,0.5961844197138315,0.9293082002912988,0.9412188507877798,3.643835616438356,3.765151515151515,0.7846607669616519,0.7901430842607313,0.5,0.5310015898251192,0.6651917404129793,0.6979332273449921,23.618932708758983,21.650827849804635,23.618932708758983,21.650827849804635,1.0,3.973333333333333,11.0,4.0,2.0,4.68,8.0,5.0,18.5952
5,Автор 1476,Архивные записи,0.0,10.514018691588785,37.0,9.0,1.0,4.859649122807017,17.0,4.0,1.0,2.150943396226415,7.0,2.0,1.0,2.177121771217712,8.0,2.0,0.0934579439252336,0.1308411214953271,0.0357142857142857,0.6274526124106372,1.0,0.6666666666666666,735.0,673.0,569.0,542.0,0.4227272727272727,14.020277522866008,9.913833310535884,1.3978405807428556,0.6130790190735694,16.60980308682515,11.744904396867312,1.1951184545966964,0.4744897959183674,0.5806122448979592,0.5014858841010401,0.6040118870728084,0.946056792937337,0.946930756070842,3.7115384615384617,3.641379310344828,0.7877551020408163,0.7845468053491828,0.4802721088435374,0.5215453194650818,0.6503401360544218,0.6909361069836553,24.8608645270838,22.742828662505143,24.8608645270838,22.742828662505143,1.0,3.5454545454545454,10.0,3.0,1.0,4.393939393939394,7.0,4.0,15.578512396694212
6,Автор 1476,Архивные записи,1.0,10.89795918367347,33.0,10.0,1.0,4.962085308056872,16.0,4.0,1.0,2.24468085106383,7.0,2.0,1.0,2.0625,5.0,2.0,0.2857142857142857,0.1326530612244898,0.125,0.7092378840876132,1.0,0.75,686.0,648.0,583.0,558.0,0.4457142857142857,14.442793556451804,10.212597263044444,1.3893894498637112,0.6691176470588235,17.448453496277676,12.33791978843607,1.161941400476045,0.511661807580175,0.6373906705539358,0.5266203703703703,0.6458333333333334,0.9414855573347752,0.9504294287951188,3.3694267515923566,3.235294117647059,0.7711370262390671,0.7638888888888888,0.5247813411078717,0.5478395061728395,0.749271137026239,0.7669753086419753,25.657079223592746,22.980970388562795,25.657079223592746,22.980970388562795,1.0,3.35,11.0,3.0,1.0,4.17,7.0,4.0,13.9695
7,Автор 1476,Архивные записи,0.0,8.415254237288135,29.0,8.0,1.0,3.9745762711864407,12.0,4.0,1.0,2.0701754385964914,9.0,2.0,1.0,1.992537313432836,5.0,2.0,0.2033898305084746,0.1440677966101695,0.088235294117647,0.6504287512196141,1.0,0.6666666666666666,640.0,590.0,513.0,485.0,0.4737406216505895,14.470430358823492,10.232139433411776,1.3415384246674689,0.6736334405144695,16.8003693880689,11.87965512074241,1.136050364738017,0.5179687500000001,0.6011718749999999,0.5326271186440679,0.6165254237288136,0.9394451363622218,0.9430794507666708,3.210526315789474,3.041095890410959,0.7625,0.752542372881356,0.5359375,0.5661016949152542,0.696875,0.7322033898305085,23.717082451262844,21.20221446700992,23.717082451262844,21.20221446700992,1.0,2.934579439252337,7.0,3.0,1.0,4.392523364485982,9.0,4.0,12.890208751856058
8,Автор 1476,Архивные записи,0.0,10.33898305084746,34.0,9.5,1.0,5.194805194805195,19.0,5.0,1.0,1.9743589743589745,8.0,2.0,1.0,2.1204819277108435,6.0,2.0,0.2542372881355932,0.1016949152542373,0.0769230769230769,0.6330421609376247,1.0,0.6666666666666666,813.0,776.0,663.0,641.0,0.4401673640167364,15.216045263891775,10.759368788939325,1.418480950495088,0.6119760479041916,17.68388420226286,12.504394437137728,1.2310109828875673,0.4852398523985239,0.6116236162361623,0.4938788659793814,0.6195231958762886,0.9534340789519864,0.9580693832357922,3.9272727272727272,4.038961038961039,0.7970479704797048,0.8015463917525774,0.4501845018450184,0.461340206185567,0.6838868388683886,0.6997422680412371,27.07522207991112,24.625964840588416,27.07522207991112,24.625964840588416,1.0,3.358974358974359,9.0,3.0,1.0,4.230769230769231,7.0,4.0,14.21104536489152
9,Автор 1476,Архивные записи,0.0,11.074380165289256,35.0,10.0,1.0,5.0852713178294575,16.0,4.0,1.0,2.168067226890756,7.0,2.0,1.0,2.1927374301675977,7.0,2.0,0.1157024793388429,0.1983471074380165,0.0769230769230769,0.6629382071022059,1.0,0.72,863.0,816.0,689.0,662.0,0.4123475609756097,14.935863901622994,10.561250647716983,1.4551943859313636,0.5997732426303855,17.812356535603985,12.595238095238097,1.2489135164730811,0.470162224797219,0.5987833140208574,0.4862132352941176,0.6084558823529411,0.9315607393776444,0.9393678375165988,4.198795180722891,4.197452229299363,0.8076477404403245,0.8075980392156863,0.4797219003476246,0.5,0.6929316338354577,0.7095588235294118,27.50463986981982,24.92498549569857,27.50463986981982,24.92498549569857,1.0,3.692307692307693,9.0,3.0,2.0,4.384615384615385,8.0,4.0,16.189349112426036
