,Author,Rubric,Min_Sentence_len,Mean_Sentence_len,Max_Sentence_len,Median_Sentence_len,Min_Clause_len,Mean_Clause_len,Max_Clause_len,Median_Clause_len,Min_Clause_count,Mean_Clause_count,Max_Clause_count,Median_Clause_count,Min_NP_len,Mean_NP_len,Max_NP_len,Median_NP_len,Compound_sent_ratio,Complex_sent_ratio,Min_MDD,Mean_MDD,Max_MDD,Median_MDD,Lexical_items,Lexical_items_rs,Unique_lexical_items,Unique_lexical_items_rs,TTR,RTTR,CTTR,MTTR,TTR_rs,RTTR_rs,CTTR_rs,MTTR_rs,MTLD_lemma,MTLD_wordform,MTLD_lemma_rs,MTLD_wordform_rs,HDD,HDD_rs,Density_func,Density_fun_rs,Density_total,Density_total_rs,Sophistication_lemmas,Sophistication_lemmas_rs,Sophistication_wordform,Sophistication_wordform_rs,Giraud_lemma,Giraud_lemma_rs,Giraud_wordform,Giraud_wordform_rs,Min_Tree_depth,Mean_Tree_depth,Max_Tree_depth,Median_Tree_depth,Min_Tree_width,Mean_Tree_width,Max_Tree_width,Median_Tree_width,ISC
0,Автор 2083,Архивные записи,0.0,13.065693430656934,54.0,13.0,1.0,5.184523809523809,19.0,5.0,1.0,2.526315789473684,9.0,2.0,1.0,2.2939914163090127,7.0,2.0,0.1532846715328467,0.1240875912408759,0.0833333333333333,0.642715707748404,1.0,0.6666666666666666,1181.0,1128.0,953.0,924.0,0.4353076480736055,18.15290306236772,12.83604085362226,1.5335729865311358,0.6092333058532564,21.21846867767692,15.003723088379704,1.3457353130885163,0.4807366638441998,0.6052074513124471,0.4913563829787234,0.6143617021276596,0.9572118808199692,0.9579851877454348,4.202643171806168,4.295774647887324,0.8077900084674005,0.8111702127659575,0.4928027095681626,0.5070921985815603,0.6994072819644369,0.7189716312056738,31.834085120269105,29.6554684419356,31.834085120269105,29.6554684419356,1.0,3.953488372093023,11.0,4.0,2.0,4.790697674418604,9.0,5.0,18.93996755002704
1,Автор 2083,Архивные записи,0.0,10.196428571428571,44.0,7.0,1.0,4.190661478599222,19.0,4.0,1.0,2.3363636363636364,11.0,2.0,1.0,2.138059701492537,7.0,2.0,0.3482142857142857,0.125,0.0303030303030303,0.559452369075567,1.0,0.6,706.0,644.0,579.0,554.0,0.4284377923292797,14.008015879731508,9.905163019526992,1.3921060098908276,0.6340057636887608,16.702171596024712,11.810218796090416,1.1749911433101323,0.4865439093484419,0.615084985835694,0.5124223602484472,0.6451863354037267,0.9461285782474352,0.9453188230726394,3.253012048192771,3.2091503267973858,0.7648725212464589,0.7624223602484472,0.4787535410764872,0.515527950310559,0.7138810198300283,0.7670807453416149,25.62977309930412,23.56450114654911,25.62977309930412,23.56450114654911,1.0,3.066666666666667,8.0,3.0,2.0,4.485714285714286,10.0,4.0,13.756190476190476
2,Автор 2083,Архивные записи,1.0,15.064102564102564,42.0,15.0,1.0,4.346303501945525,16.0,3.0,1.0,3.4266666666666667,13.0,3.0,1.0,2.456140350877193,13.0,2.0,0.2179487179487179,0.1666666666666666,0.0714285714285714,0.6342926259047201,1.0,0.7142857142857143,771.0,723.0,614.0,585.0,0.4503610108303249,14.991002114746436,10.60023925211908,1.3899354975523202,0.6287581699346405,17.390591701795604,12.297005321186171,1.1999679629650408,0.4854085603112841,0.5972762645914397,0.4989626556016597,0.6068464730290457,0.9516601765254448,0.9418588303152522,4.354166666666667,4.316176470588236,0.8132295719844358,0.8118948824343015,0.4915693904020752,0.5103734439834025,0.669260700389105,0.6846473029045643,25.06582773108357,22.87209610164725,25.06582773108357,22.87209610164725,1.0,4.236111111111111,10.0,4.0,1.0,5.041666666666667,9.0,5.0,21.357060185185183
3,Автор 2083,Архивные записи,3.0,19.666666666666668,52.0,16.5,1.0,5.093596059113301,18.0,4.0,1.0,3.759259259259259,15.0,3.0,1.0,2.610655737704918,12.0,2.5,0.3333333333333333,0.1481481481481481,0.0769230769230769,0.6168747226577542,1.0,0.7238095238095238,696.0,656.0,556.0,533.0,0.4444444444444444,14.23610433604175,10.066445913694333,1.3730068196877816,0.6310541310541311,16.719957537535198,11.822795355942269,1.1766739937542612,0.4913793103448275,0.5991379310344828,0.5064786585365854,0.609375,0.9214265577167317,0.9287966364618996,4.043478260869565,4.046153846153846,0.8017241379310345,0.801829268292683,0.521551724137931,0.5426829268292683,0.7025862068965517,0.725609756097561,24.60028151413541,22.176674188182066,24.60028151413541,22.176674188182066,1.0,4.849056603773585,10.0,4.0,2.0,5.113207547169812,11.0,5.0,24.79423282306871
4,Автор 2083,Архивные записи,1.0,12.619565217391305,31.0,11.0,1.0,4.248031496062992,21.0,3.0,1.0,2.760869565217391,8.0,2.5,1.0,2.2977346278317152,7.0,2.0,0.1630434782608695,0.1304347826086956,0.0833333333333333,0.6500525763147357,1.0,0.7142857142857143,716.0,659.0,486.0,461.0,0.3472609099350046,11.396296780783295,8.05839873410629,1.3927103641736736,0.502086230876217,13.463028238339035,9.519798562635511,1.18893296267735,0.3917597765363128,0.5090782122905029,0.4108497723823975,0.5246585735963581,0.8612553091735046,0.8686557216055947,4.264705882352941,4.401639344262295,0.8100558659217877,0.8148710166919575,0.3519553072625698,0.3748103186646433,0.5251396648044693,0.5493171471927162,21.56350242589335,19.477234678290493,21.56350242589335,19.477234678290493,1.0,4.28169014084507,9.0,4.0,2.0,5.126760563380282,8.0,5.0,21.95120015869867
5,Автор 2083,Архивные записи,1.0,15.367088607594935,55.0,14.0,1.0,4.758064516129032,20.0,4.0,1.0,3.1392405063291138,10.0,3.0,1.0,2.215686274509804,6.0,2.0,0.2151898734177215,0.1645569620253164,0.0526315789473684,0.6447376277643813,1.0,0.7142857142857143,773.0,730.0,591.0,566.0,0.4044558697514995,13.816771349440064,9.769932715293072,1.4179128192582648,0.5762925598991173,16.22854583361974,11.47531480774921,1.2176613686172637,0.4579560155239327,0.5734152652005174,0.4695205479452055,0.5815068493150686,0.9182461881936518,0.912642656680648,4.153333333333333,4.104895104895105,0.8059508408796895,0.8041095890410959,0.4398447606727037,0.4602739726027397,0.6196636481241915,0.6397260273972603,25.357087544612625,22.83619453459612,25.357087544612625,22.83619453459612,0.0,4.628571428571429,13.0,4.0,0.0,5.042857142857143,10.0,5.0,23.34122448979592
6,Автор 2083,Архивные записи,2.0,13.82,49.0,12.0,1.0,4.680701754385965,21.0,4.0,1.0,2.85,10.0,2.0,1.0,2.27027027027027,6.0,2.0,0.2,0.14,0.037037037037037,0.6110780551158809,1.0,0.6666666666666666,879.0,828.0,693.0,662.0,0.4138972809667673,15.060402052063168,10.649312418409664,1.45568654161694,0.5732899022801303,17.39819152681993,12.302379208996705,1.269408009799902,0.4675767918088737,0.591296928327645,0.4782608695652173,0.5996376811594203,0.9267396536321368,0.9245181854272234,3.9661016949152543,3.958083832335329,0.7986348122866894,0.7983091787439613,0.4835039817974971,0.4987922705314009,0.6780432309442548,0.6980676328502415,27.59045522581479,25.334501307934584,27.59045522581479,25.334501307934584,1.0,4.010869565217392,9.0,4.0,2.0,4.760869565217392,8.0,5.0,19.0952268431002
7,Автор 2083,Архивные записи,2.0,18.24418604651163,59.0,15.0,1.0,5.309027777777778,24.0,4.0,1.0,3.3488372093023258,10.0,3.0,1.0,2.2605263157894737,8.0,2.0,0.4883720930232558,0.1046511627906976,0.0816326530612244,0.704200854750582,1.0,0.75,981.0,922.0,754.0,722.0,0.3837056504599211,14.969438862849668,10.58499173047844,1.5054065548225837,0.566,17.898491556553026,12.656144752648808,1.28831180465488,0.4464831804281346,0.5764525993883791,0.460412147505423,0.5873101952277657,0.9384138231675172,0.9415994845896885,3.1923076923076925,3.171945701357466,0.7614678899082569,0.7603036876355749,0.4444444444444444,0.4631236442516269,0.6411824668705403,0.6648590021691974,27.872744899935505,25.58913221732177,27.872744899935505,25.58913221732177,1.0,4.602564102564102,11.0,4.0,2.0,5.410256410256411,13.0,5.0,24.90105193951348
8,Автор 2083,Архивные записи,1.0,14.176470588235292,52.0,13.0,1.0,5.021428571428571,19.0,4.0,1.0,2.8,9.0,2.0,1.0,2.342175066312997,7.0,2.0,0.2156862745098039,0.1764705882352941,0.0833333333333333,0.6501076064815997,1.0,0.7207792207792207,886.0,834.0,698.0,675.0,0.4034334763948498,15.08431240351032,10.666219590058496,1.4836308186624496,0.5947995666305526,18.07055511267358,12.777812059976728,1.2687983393881406,0.4774266365688487,0.5908577878103838,0.493705035971223,0.6070143884892086,0.9407025510711522,0.9401522924980248,3.9497206703910615,3.994011976047904,0.7979683972911964,0.7997601918465228,0.4762979683972912,0.5023980815347722,0.6659142212189616,0.6966426858513189,28.253947565736794,25.935748871863417,28.253947565736794,25.935748871863417,1.0,3.9894736842105263,8.0,4.0,1.0,4.91578947368421,8.0,5.0,19.61141274238227
9,Автор 2083,Архивные записи,1.0,13.506666666666666,55.0,10.0,1.0,4.797029702970297,15.0,4.0,1.0,2.6933333333333334,9.0,2.0,1.0,2.2830882352941178,6.0,2.0,0.24,0.1066666666666666,0.0212765957446808,0.6220903732278605,1.0,0.7058823529411765,629.0,575.0,451.0,427.0,0.3589211618257261,11.143909636734374,7.879934073064991,1.3639701255886088,0.5170807453416149,13.122038263881024,9.278682239379624,1.1622795899189684,0.4125596184419714,0.5377583465818759,0.4343478260869565,0.5569565217391305,0.8937732925475647,0.8897960669824758,3.8384615384615386,3.7916666666666665,0.7933227344992051,0.7913043478260869,0.3958664546899841,0.4226086956521739,0.5882352941176471,0.6243478260869565,22.448280072633533,20.267601046347668,22.448280072633533,20.267601046347668,1.0,4.076923076923077,13.0,4.0,2.0,4.6923076923076925,11.0,5.0,19.13017751479289
